raw_sentence,labels
A New Zealand motorist got an unexpected free flight to Tonga on Tuesday after being caught drinking and driving .,"['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
I said you should n't smoke either .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Bancomext official says Mexico peso level suitable .,"['B-ORG', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
Salim Malik not out 2,"['B-PER', 'I-PER', 'O', 'O', 'O']"
"We cannot object to people wanting to visit Nigeria , "" Ikimi told Reuters by telephone from the capital Abuja .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"Akron , Ohio , $ 6 mln bonds rated single-A - Moody 's .","['B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
The Cardinals moved within one-half game of first-place Houston in the National League Central Division .,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O']"
Leeds 1 ( Sharpe 58th minute ) Wimbledon 0 .,"['B-ORG', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
The motion was put forward by Sen .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
""" All civil servants who did not return to work at their normal working hours , and remained working for the full working day on 23 August 1996 , have been summarily dismissed ...","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A Bank Indonesia spokeswoman confirmed the newspaper report but declined to give further details .,"['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Yasushi Akashi , the DHA undersecretary-general , told the Security Council last week that the "" financial requirements to support the ( humanitarian ) programme represent a very modest percentile of the total ...","['B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" Our security concerns oblige us to maintain our nuclear option , "" he said , adding that India had exercised restraint in not carrying out any nuclear tests since the country 's lone test blast in 1974 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1. Katja Seizinger ( Germany ) 414 points,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O']"
Chornomorets Odessa 2 Metalurg Zaporizhya 1,"['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
"Midfielders - Alexandre Comisetti ( Grasshoppers ) , Antonio Esposito ( Grasshoppers ) , Sebastien Fournier ( Stuttgart ) , Christophe Ohrel ( Lausanne ) , Patrick Sylvestre ( Sion ) , David Sesa ( Servette ) , Ciriaco Sforza ( Inter Milan ) Murat Yakin ( Grasshoppers ) .","['O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O']"
Expected Sale Date : 08/26/96,"['O', 'O', 'O', 'O', 'O']"
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"Real Madrid 2 ( Davor Suker 24 , Predrag Mijatovic 48 ) Barcelona 0 .","['B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O']"
Roberto Chiappa ( Italy ) beat Frederic Magne ( France ) 2-0,"['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
Waqar Younis st Germon b Harris 0,"['B-PER', 'I-PER', 'O', 'B-PER', 'O', 'B-PER', 'O']"
"Tirana 's national library has three copies of the "" Book of Mass ' . ""","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O']"
"`` We basically charged that the Technical Equities audit was not conducted in accordance with generally accepted auditing standards , '' Della Bousquet , executive officer for the board , told Reuters in a telephone interview .","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
Year to June 30 .,"['O', 'O', 'O', 'O', 'O']"
Nasdaq Stock symbol TKTX,"['B-MISC', 'O', 'O', 'O']"
"Cold front bringing light rains to the coast of Tamaulipas , but with the rest of the Gulf in clear skies .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
Notts County 3 1 1 1 2 2 4,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Trade and Industry Secretary Ian Lang added that even if the conditions were met by both airlines , final clearance would hinge on an open skies deal between Britain and the United States to liberalise trans-Atlantic air traffic , which would create greater competition on the routes .","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
SOCCER - NORWAY ELITE DIVISION RESULTS / STANDINGS .,"['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"But it noted in a brief statement : "" However , it is too early to say at this stage whether or not terms can be agreed . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
German Santa in bank nearly gets arrested .,"['B-MISC', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
A spokeswoman declined to release details of the message .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Chelsea 2 Coventry 0,"['B-ORG', 'O', 'B-ORG', 'O']"
West Indies were all out for 172 off 49.2 overs in the World Series limited overs match against Australia on Friday .,"['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"The men shouted "" Allahu Akbar "" ( God is Greatest ) as a former Islamist deputy , Ahmed Kafawin , told soldiers the crowd would not cause trouble .","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Real looked to be in deep trouble shortly after the break when Luis Milla was sent off for committing two bookable offences in as many minutes .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PHILADELPHIA 14 12 2 75 75 30,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Barbarians included 14 internationals but , with only two pre-match practice sessions behind them , proved no real match for a Wallaby side determined to finish their 12-match tour unbeaten .","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Result and close of play scores in English county championship matches on Friday :,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
"The quake struck at 11.16 a.m. ( 1716 GMT ) and was centred 10 miles ( 16 km ) south of the port of Quepos , which is 90 miles ( 140 km ) south of the capital San Jose , the Costa Rican Volcanic and Seismologicial Observatory said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
8. Takeishi 38:34.999,"['O', 'B-PER', 'O']"
Zemun 4 1 2 1 3 3 5,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PARIS 1996-08-24,"['B-LOC', 'O']"
He will probably be free in around two and a half years .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Fax : ( 6221 ) 344-8404 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"S. Korea Daewoo , Dacom units in Polish telecom JV .","['B-LOC', 'I-LOC', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'B-MISC', 'O', 'O', 'O']"
Airdrieonians 16 6 8 2 26 16 26,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6. Tea Vikstedt-Nyman ( Finland ) 5,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
Blackburn 3 0 1 2 2 5 1,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Village attack kills 38 in eastern Sierra Leone .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
DUBLIN 1996-08-22,"['B-LOC', 'O']"
"Auxerre , who start their European Cup campaign next week against Ajax Amsterdam , dominated the match but were unable to score .","['B-ORG', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2. Paddy Lad 16-1 ( Peter Bloomfield ),"['O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O']"
2. Martens,"['O', 'B-PER']"
Grimsby 22 5 6 11 24 41 21,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Strasbourg 1 ( Zitelli 80th ) Le Havre 0 .,"['B-ORG', 'O', 'O', 'B-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']"
"Trevor Holland , a 52 year-old with who has been convicted twice of gross indecency with children , was captured after being spotted in Worthing , a town on England 's southern coast .","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"Guzman ( 10-8 ) won for the first time since July 16 , a span of six starts .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In the past , Mobutu has been elected without opposition .","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
""" We must obtain a formal commitment from ( Air France chairman ) Christian Blanc that no plane , no personnel be used to transform our air companies into charters of shame , "" CFDT spokesman Francois Cabrera said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O']"
Company name Liu Chong Hing Investment Ltd,"['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
Death toll of Algeria bomb put at seven-newspaper .,"['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
Aston Villa 3 2 0 1 4 2 6,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The blonde Australian opened with a level par round of 70 in Akron , leaving him four shots adrift of the leaders , Americans Billy Mayfair and Paul Goydos and Japan 's Hidemichi Tanaki .","['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O']"
Agreement on the latest loan was reached in principle last September when President Corazon Aquino visited the U.S .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-LOC', 'O']"
"Add men 's singles , second round 12 - Todd Martin ( U.S. ) beat Andrea Gaudenzi ( Italy ) 6-3 6-2 6-2 Stefan Edberg ( Sweden ) beat Bernd Karbacher ( Germany ) 3-6 6-3 6-3 1-0 retired ( leg injury )","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The students ' union said second and third-year students were demanding four months of unpaid grants .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"other foreign assets 13,256.5 12,855.7","['O', 'O', 'O', 'O', 'O']"
ATLANTIC DIVISION,"['B-LOC', 'O']"
"Three people were killed on Friday in a gun battle between rival groups of anti-guerrilla militiamen on the streets of this southeastern Turkish city , police said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O']"
BOXING - MILLER DEFENDS WBA CRUISERWEIGHT TITLE .,"['O', 'O', 'B-PER', 'O', 'B-ORG', 'O', 'O', 'O']"
matches on Saturday :,"['O', 'O', 'O', 'O']"
"Hong Kong also had the necessary "" constitutional infrastructure "" in place , with the promise of autonomy in running its affairs after the handover from Britain to China .","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O']"
-- Seoul Newsroom ( 822 ) 727 5644,"['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O']"
Zaragoza 15 2 8 5 18 23 14,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"You have to concentrate for these two weeks . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Essex need another 148 with five wickets in hand to beat Yorkshire after a maiden first-class century from Richard Kettleborough transformed a match which his side had seemed certain to lose .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"France - 1 - Bernard Lama ; 2 - Lilian Thuram ( 14 - Sabri Lamouchi 87th ) , 5 - Laurent Blanc , 8 - Marcel Desailly ( 12 - Franck Leboeuf 46th ) , 3 - Bixente Lizarazu ; 4 - Christian Karembeu , 7 - Didier Deschamps , 10 - Youri Djorkaeff , 6 - Reynald Pedros ( 13 - Robert Pires 46th ) ; 9 - Nicolas Ouedec ( 17 - Florian Maurice 64th ) , 11 - Patrice Loko ( 15 - Zinedine Zidane 46th )","['B-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,"['B-ORG', 'I-ORG', 'O', 'B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
NEW YORK 1996-08-30,"['B-LOC', 'I-LOC', 'O']"
Former Surinam rebel leader held after shooting .,"['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
Women 's 100 metres hurdles,"['O', 'O', 'O', 'O', 'O']"
"The result is expected to play a key role in determining when Prime Minister Margaret Thatcher , leader of the ruling Conservatives , might call a general election .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A South African boy is writing back to an American girl whose message in a bottle he found washed up on President Nelson Mandela 's old prison island .,"['O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
"33,230 .","['O', 'O']"
"( N. Fairbrother 86 , M. Watkinson 64 ; D. Gough 4-53 ) and 210-5","['O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"( Germany ) 70 67 65 , Ronan Rafferty 64 72 66 , Barry Lane","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
SOFIA 1996-08-28,"['B-LOC', 'O']"
"- ABN AMRO 3,003 1,940 5.95","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O']"
"Banisadr , who received political asylum in France after fleeing there in 1981 , told Der Spiegel he did not plan to ask for a guarantee of safe conduct .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Supple said hosting the meeting carried prestige for Singapore , "" however , this is quite intangible as the prestige factor may not necessarily lead to any additional investment and trade flows to this region . ""","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Irene suits rate high because they are designed for her long-bodied silhouette .,"['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
RESEARCH ALERT - Royal Oak initiated .,"['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']"
Essex are set to step up their English county championship challenge with a fifth consecutive victory after new-ball pair Neil Williams and Mark Ilott sent Gloucestershire reeling on Saturday .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O']"
Stockport 0 Notts County 0,"['B-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
LONDON 1996-08-24,"['B-LOC', 'O']"
7. Zundra Feagin ( U.S. ) 23.18,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
"Dutch post and telecoms group Koninklijke PTT Nederland NV 's ( Dutch PTT ) first half results came marginally below most analysts ' forecasts , giving scant grounds to adjust full year estimates , analysts said on Friday .","['B-MISC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Three Russian soldiers killed in gun attack .,"['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
"Liam Gallagher , singer of Britain 's top rock group Oasis , flew out on Thursday to join the band three days after the start of its U.S. tour .","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
4. Fogarty 236,"['O', 'B-PER', 'O']"
Liverpool 3 1 2 0 5 3 5,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Pay Oct 20,"['O', 'O', 'O']"
"Welch , Thomas Gogele ( Germany ) , Paul McGinley ( Ireland ) ,","['B-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
Adrian Warner,"['B-PER', 'I-PER']"
SAN FRANCISCO 56 73 .434 14 1/2,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O']"
Men 's singles,"['O', 'O', 'O']"
Quarter ended June 30 Six Months ended June 30,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"It said heavy fighting started at midnight in the region dividing the two warring factions , with the PUK aiming to break through to KDP 's headquarters in Salahuddin .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-LOC', 'O']"
VALLETTA 1996-08-26,"['B-LOC', 'O']"
No street value was given for the cannabis .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
COLORADO 65 62 .512 4,"['B-ORG', 'O', 'O', 'O', 'O']"
Estimates ( Dfl ) : EPS P / E Dividend,"['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Their videos included pictures of one of the accused tying up a Thai boy and performing acts of sadistic torture on him , prosecutors said in a statement .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
U.S. President Bill Clinton had to drop the resort of Ballybunion from a whirlwind Irish tour last year .,"['B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']"
"standings after games played on Thursday ( tabulate under won ,","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Bowling : Gough 8-0-39-3 , Mullally 6-0-30-1 , Headley","['O', 'O', 'B-PER', 'O', 'O', 'B-PER', 'O', 'O', 'B-PER']"
""" The dollar 's gains were less than spectacular , suggesting that while it 's likely to benefit from revised Japanese rate expectations , a breakout from the established trading range does n't appear likely , "" said currency economist Klaus Baader .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
MILAN 1996-08-29,"['B-LOC', 'O']"
"Iran says five spy networks destroyed , 41 held .","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
He walked three and struck out three in winning for the 10th time in his last 11 decisions .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" I sincerely believe that this unfortunate choice in giving the honour to such a controversial figure as Ramos Horta ...","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
""" I know what I 'm here for , "" said Medvedev , who lost in the second round of the Open the last two years after reaching the quarters in 1993 , the same year he tried his hand as a restaurant critic .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
128 Ian Woosnam 64 64,"['O', 'B-PER', 'I-PER', 'O', 'O']"
